1111,여자,20,정육,간식,술
1112,여자,10,오일,샐러드,음료
1113,남자,10,과일,반찬,음료
1114,여자,50,음료,해산물,반찬
1115,여자,10,간식,채소,과일
1116,여자,50,술,메인요리,해산물
1117,남자,50,정육,샐러드,술
1118,여자,10,간식,과일,음료
1119,남자,40,반찬,오일,메인요리
1120,남자,20,계란,채소,음료
1121,여자,50,채소,정육,과일
1122,여자,40,면,과일,해산물
1123,남자,50,음료,술,해산물
1124,남자,20,술,국,채소
1125,여자,20,국,쌀,반찬
1126,남자,20,반찬,오일,샐러드
1127,남자,50,메인요리,술,정육
1128,남자,50,메인요리,술,정육
1129,여자,10,계란,면,채소
1130,남자,20,술,국,채소
1131,여자,50,반찬,메인요리,음료
1132,남자,10,과일,과일,계란
1133,여자,50,계란,오일,샐러드
1134,남자,50,면,계란,정육
1135,여자,20,과일,간식,음료
1136,여자,50,면,계란,과일
1137,남자,10,메인요리,쌀,채소
1138,여자,40,반찬,국,메인요리
1139,남자,50,반찬,쌀,메인요리
1140,남자,50,과일,술,해산물
1141,남자,10,샐러드,계란,반찬
1142,여자,50,오일,해산물,국
1143,여자,20,반찬,해산물,오일
1144,여자,10,채소,과일,면
1145,여자,40,계란,면,채소
1146,여자,50,국,쌀,반찬
1147,여자,10,간식,채소,과일
1148,남자,30,채소,과일,계란
1149,남자,30,과일,채소,음료
1150,여자,50,쌀,메인요리,국
1151,남자,50,반찬,메인요리,해산물
1152,여자,10,메인요리,간식,음료
1153,남자,20,간식,정육,술
1154,남자,30,음료,국,반찬
1155,남자,10,음료,샐러드,간식
1156,여자,40,정육,오일,샐러드
1157,남자,30,술,해산물,해산물
1158,남자,50,계란,채소,면
1159,남자,20,반찬,오일,샐러드
1160,여자,20,음료,음료,간식
1161,남자,50,국,샐러드,해산물
1162,여자,10,간식,간식,메인요리
1163,여자,20,술,간식,정육
1164,남자,20,술,국,채소
1165,여자,20,반찬,해산물,오일
1166,여자,10,메인요리,간식,음료
1167,여자,20,샐러드,채소,과일
1168,여자,40,음료,메인요리,술
1169,남자,30,술,해산물,해산물
1170,여자,50,계란,오일,샐러드
1171,여자,50,오일,해산물,국
1172,남자,30,음료,국,반찬
1173,여자,40,반찬,샐러드,과일
1174,남자,50,국,샐러드,해산물
1175,여자,30,샐러드,메인요리,쌀
1176,남자,50,간식,과일,채소
1177,여자,50,술,국,반찬
1178,여자,20,음료,샐러드,해산물
1179,여자,50,해산물,쌀,정육
1180,남자,10,간식,메인요리,음료
1181,남자,30,해산물,정육,쌀
1182,여자,20,음료,음료,간식
1183,여자,40,반찬,국,메인요리
1184,여자,30,샐러드,메인요리,쌀
1185,남자,10,메인요리,쌀,채소
1186,여자,40,정육,간식,술
1187,남자,40,쌀,해산물,오일
1188,남자,10,샐러드,계란,반찬
1189,여자,10,채소,샐러드,오일
1190,여자,50,해산물,쌀,정육
1191,여자,20,술,간식,정육
1192,남자,30,면,쌀,정육
1193,여자,30,술,메인요리,국
1194,남자,20,정육,술,계란
1195,남자,40,샐러드,샐러드,과일
1196,남자,30,샐러드,쌀,과일
1197,남자,50,술,국,계란
1198,여자,50,술,국,반찬
1199,여자,10,면,정육,음료
1200,여자,20,반찬,해산물,오일
1201,남자,20,정육,술,계란
1202,여자,50,면,술,국
1203,남자,10,간식,메인요리,음료
1204,여자,10,계란,샐러드,음료
1205,여자,50,반찬,메인요리,음료
1206,남자,50,계란,채소,면
1207,남자,10,채소,해산물,음료
1208,여자,50,샐러드,계란,오일
1209,남자,40,샐러드,샐러드,과일
1210,남자,10,면,간식,음료
1211,남자,50,간식,과일,채소
1212,여자,40,계란,면,채소
1213,남자,50,정육,샐러드,술
1214,여자,30,오일,음료,간식
1215,여자,40,간식,샐러드,과일
1216,여자,40,음료,메인요리,술
1217,남자,20,정육,반찬,간식
1218,여자,40,계란,면,채소
1219,남자,50,반찬,메인요리,해산물
1220,남자,10,정육,메인요리,채소
1221,남자,30,채소,과일,계란
1222,여자,50,샐러드,계란,오일
1223,남자,40,쌀,해산물,오일
1224,여자,20,술,과일,간식
1225,남자,50,술,간식,음료
1226,여자,40,반찬,샐러드,과일
1227,남자,50,메인요리,술,정육
1228,남자,50,술,계란,간식
1229,남자,50,음료,술,반찬
1230,남자,10,메인요리,쌀,채소
1231,여자,40,쌀,면,반찬
1232,여자,50,채소,과일,메인요리
1233,여자,20,정육,간식,술
1234,남자,10,면,간식,음료
1235,여자,10,간식,반찬,음료
1236,남자,40,채소,정육,샐러드
1237,남자,10,샐러드,계란,반찬
1238,여자,50,술,국,반찬
1239,여자,40,정육,간식,술
1240,여자,20,샐러드,채소,과일
1241,여자,50,쌀,메인요리,국
1242,여자,20,정육,간식,술
1243,여자,10,간식,채소,과일
1244,여자,10,간식,반찬,음료
1245,여자,50,오일,해산물,국
1246,여자,10,채소,과일,면
1247,여자,10,정육,정육,쌀
1248,여자,10,과일,채소,메인요리
1249,여자,10,면,정육,음료
1250,여자,50,정육,해산물,반찬
1251,여자,10,과일,채소,메인요리
1252,남자,50,국,샐러드,해산물
1253,여자,20,해산물,반찬,술
1254,여자,50,채소,과일,메인요리
1255,여자,40,정육,간식,술
1256,여자,50,면,술,국
1257,여자,20,음료,샐러드,해산물
1258,여자,20,해산물,반찬,술
1259,여자,50,반찬,국,쌀
1260,남자,30,채소,과일,계란
1261,남자,30,샐러드,쌀,과일
1262,남자,10,간식,메인요리,음료
1263,남자,30,메인요리,국,반찬
1264,남자,50,술,정육,정육
1265,여자,40,쌀,면,반찬
1266,여자,20,과일,간식,음료
1267,남자,50,술,정육,정육
1268,여자,50,채소,정육,과일
1269,남자,50,음료,술,해산물
1270,여자,50,채소,정육,과일
1271,여자,50,음료,해산물,반찬
1272,남자,50,해산물,메인요리,쌀
1273,남자,40,쌀,해산물,오일
1274,남자,30,해산물,정육,쌀
1275,여자,10,계란,면,채소
1276,남자,40,반찬,오일,메인요리
1277,남자,40,반찬,오일,메인요리
1278,남자,30,메인요리,국,반찬
1279,남자,20,계란,면,정육
1280,남자,50,술,국,계란
1281,여자,40,음료,메인요리,술
1282,남자,50,계란,채소,면
1283,남자,30,면,쌀,정육
1284,남자,40,샐러드,샐러드,과일
1285,남자,10,음료,샐러드,간식
1286,여자,50,술,메인요리,해산물
1287,남자,30,메인요리,국,반찬
1288,남자,20,계란,면,정육
1289,남자,50,반찬,쌀,메인요리
1290,남자,30,과일,채소,음료
1291,여자,20,샐러드,채소,과일
1292,여자,10,정육,정육,쌀
1293,남자,30,술,해산물,해산물
1294,여자,40,반찬,샐러드,과일
1295,여자,30,샐러드,메인요리,쌀
1296,남자,20,간식,정육,술
1297,남자,50,술,간식,음료
1298,남자,50,간식,과일,채소
1299,남자,20,정육,술,계란
1300,여자,30,오일,음료,간식
1301,남자,20,반찬,오일,샐러드
1302,여자,50,반찬,메인요리,음료
1303,남자,50,면,계란,정육
1304,여자,20,과일,간식,음료
1305,여자,10,채소,샐러드,오일
1306,여자,50,정육,해산물,반찬
1307,여자,50,해산물,쌀,정육
1308,남자,50,음료,술,해산물
1309,여자,20,국,쌀,반찬
1310,남자,50,과일,술,해산물
1311,남자,10,정육,메인요리,채소
1312,여자,10,간식,과일,음료
1313,여자,50,술,메인요리,해산물
1314,여자,40,정육,오일,샐러드
1315,남자,50,정육,샐러드,술
1316,여자,30,간식,오일,음료
1317,여자,50,샐러드,음료,과일
1318,여자,30,술,메인요리,국
1319,여자,10,간식,과일,음료
1320,여자,40,쌀,면,반찬
1321,남자,10,과일,과일,계란
1322,여자,20,음료,샐러드,해산물
1323,여자,10,면,정육,음료
1324,여자,10,간식,간식,메인요리
1325,여자,30,채소,해산물,해산물
1326,여자,50,샐러드,계란,오일
1327,여자,20,술,과일,간식
1328,여자,40,정육,오일,샐러드
1329,여자,10,채소,계란,음료
1330,남자,10,음료,샐러드,간식
1331,남자,50,반찬,메인요리,해산물
1332,여자,20,술,간식,정육
1333,남자,10,채소,해산물,음료
1334,여자,10,오일,샐러드,음료
1335,남자,50,면,계란,정육
1336,여자,30,채소,해산물,해산물
1337,남자,50,해산물,메인요리,쌀
1338,여자,10,간식,반찬,음료
1339,여자,20,음료,음료,간식
1340,남자,20,정육,반찬,간식
1341,남자,50,음료,술,반찬
1342,남자,40,메인요리,간식,음료
1343,남자,30,샐러드,쌀,과일
1344,남자,30,음료,국,반찬
1345,여자,30,간식,오일,음료
1346,여자,40,간식,샐러드,과일
1347,남자,50,과일,술,해산물
1348,여자,10,과일,채소,메인요리
1349,여자,40,면,과일,해산물
1350,남자,30,과일,채소,음료
1351,남자,20,계란,채소,음료
1352,여자,50,반찬,국,쌀
1353,여자,50,면,술,국
1354,여자,30,간식,오일,음료
1355,여자,10,채소,과일,면
1356,여자,10,채소,샐러드,오일
1357,남자,50,술,정육,정육
1358,남자,10,과일,반찬,음료
1359,남자,50,반찬,쌀,메인요리
1360,남자,20,간식,정육,술
1361,여자,10,간식,간식,메인요리
1362,여자,50,채소,과일,메인요리
1363,여자,20,술,과일,간식
1364,여자,10,계란,샐러드,음료
1365,남자,50,술,계란,간식
1366,남자,10,정육,메인요리,채소
1367,여자,30,오일,음료,간식
1368,여자,50,음료,해산물,반찬
1369,여자,10,계란,샐러드,음료
1370,여자,50,반찬,국,쌀
1371,남자,30,면,쌀,정육
1372,여자,20,해산물,반찬,술
1373,여자,50,국,쌀,반찬
1374,남자,20,정육,반찬,간식
1375,남자,20,계란,채소,음료
1376,남자,50,술,국,계란
